time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.515,1e-06,4.5e-07,0.6768148033400984,0,0.000229039139010148,2.5e-07,0.0,0.0
46.516,1e-06,4.5e-07,0.6768151727172611,0,0.00022903938901014801,2.5e-07,0.0,0.0
46.517,0.0001301378435821335,5.856202961196007e-05,0.6768155420942223,0,0.00022903963901014802,5.8362029611960075e-05,0.0001291378435821335,0.0
46.518,1e-06,4.5e-07,0.6769017669348485,0,0.00022909800103975997,2.5e-07,0.0,0.0
46.519,1e-06,4.5e-07,0.6769021362645563,0,0.00022909825103975998,2.5e-07,0.0,0.0
46.52,1e-06,4.5e-07,0.6769025055940626,0,0.00022909850103975998,2.5e-07,0.0,0.0
46.521,1e-06,4.5e-07,0.6769028749233674,0,0.00022909875103975999,2.5e-07,0.0,0.0
46.522,1e-06,4.5e-07,0.6769032442524707,0,0.00022909900103976,2.5e-07,0.0,0.0
46.523,1e-06,4.5e-07,0.6769036135813724,0,0.00022909925103976,2.5e-07,0.0,0.0
46.524,1e-06,4.5e-07,0.6769039829100727,0,0.00022909950103976,2.5e-07,0.0,0.0
46.525,1e-06,4.5e-07,0.6769043522385715,0,0.00022909975103976,2.5e-07,0.0,0.0
46.526,1e-06,4.5e-07,0.6769047215668687,0,0.00022910000103976,2.5e-07,0.0,0.0
46.527,1e-06,4.5e-07,0.6769050908949644,0,0.00022910025103976,2.5e-07,0.0,0.0
46.528,1e-06,4.5e-07,0.6769054602228586,0,0.00022910050103976001,2.5e-07,0.0,0.0
46.529,1e-06,4.5e-07,0.6769058295505513,0,0.00022910075103976002,2.5e-07,0.0,0.0
46.53,5.6928609062434264e-05,2.5617874078095418e-05,0.6769061988780425,0,0.00022910100103976002,2.5417874078095416e-05,0.0,5.5928609062434266e-05
46.531,1e-06,4.5e-07,0.6769437479050059,0,0.00022912641891383812,2.5e-07,0.0,0.0
46.532000000000004,1e-06,4.5e-07,0.6769441172118096,0,0.00022912666891383813,2.5e-07,0.0,0.0
46.533,1e-06,4.5e-07,0.6769444865184119,0,0.00022912691891383813,2.5e-07,0.0,0.0
46.534,1e-06,4.5e-07,0.6769448558248126,0,0.00022912716891383813,2.5e-07,0.0,0.0
46.535000000000004,0.0001247539869640226,5.613929413381017e-05,0.6769452251310119,0,0.00022912741891383814,5.593929413381017e-05,0.0001237539869640226,0.0
46.536,1e-06,4.5e-07,0.677027854977876,0,0.00022918335820797196,2.5e-07,0.0,0.0
46.537,1e-06,4.5e-07,0.6770282242388008,0,0.00022918360820797196,2.5e-07,0.0,0.0
46.538000000000004,9.672125276925913e-05,4.352456374616661e-05,0.6770285934995242,0,0.00022918385820797196,4.332456374616661e-05,9.572125276925914e-05,0.0
46.539,1e-06,4.5e-07,0.6770925826971051,0,0.00022922718277171812,2.5e-07,0.0,0.0
46.54,1e-06,4.5e-07,0.6770929519227299,0,0.00022922743277171813,2.5e-07,0.0,0.0
46.541000000000004,1e-06,4.5e-07,0.6770933211481532,0,0.00022922768277171813,2.5e-07,0.0,0.0
46.542,1e-06,4.5e-07,0.6770936903733753,0,0.00022922793277171813,2.5e-07,0.0,0.0
46.543,1e-06,4.5e-07,0.6770940595983961,0,0.00022922818277171814,2.5e-07,0.0,0.0
46.544000000000004,1e-06,4.5e-07,0.6770944288232154,0,0.00022922843277171814,2.5e-07,0.0,0.0
46.545,1e-06,4.5e-07,0.6770947980478335,0,0.00022922868277171815,2.5e-07,0.0,0.0
46.546,1e-06,4.5e-07,0.67709516727225,0,0.00022922893277171815,2.5e-07,0.0,0.0
46.547000000000004,1e-06,4.5e-07,0.6770955364964654,0,0.00022922918277171815,2.5e-07,0.0,0.0
46.548,1e-06,4.5e-07,0.6770959057204794,0,0.00022922943277171816,2.5e-07,0.0,0.0
46.549,1e-06,4.5e-07,0.677096274944292,0,0.00022922968277171816,2.5e-07,0.0,0.0
46.550000000000004,1e-06,4.5e-07,0.6770966441679034,0,0.00022922993277171817,2.5e-07,0.0,0.0
46.551,0.00011823054112104008,5.3203743504468034e-05,0.6770970133913133,0,0.00022923018277171817,5.3003743504468036e-05,0.00011723054112104008,0.0
46.552,1e-06,4.5e-07,0.6771752897370409,0,0.00022928318651522264,2.5e-07,0.0,0.0
